Symbol	Sector
NABIL	CB
NIMB	CB
SCB	CB
HBL	CB
SBI	CB
EBL	CB
NICA	CB
MBL	CB
LSL	CB
KBL	CB
SBL	CB
SANIMA	CB
NMB	CB
PRVU	CB
GBIME	CB
CZBIL	CB
PCBL	CB
ADBL	CB
NBL	CB
SKBBLP	MF
NICAD85/86	CB
SAND2085	Inv
NICAD8283	Inv
PBLD84	Inv
PMLI	LI
NIFRA	Inv
NIBD84	Inv
MFLD85	Inv
NBLD87	Inv
EBLD86	CB
KBLD86	Inv
NCCD86	Inv
GBBD85	Inv
SBLD89	Inv
MEL	HP
LBBLD89	Inv
SBID89	Inv
CIZBD90	Inv
NABBC	DB
EDBL	DB
LBBL	DB
MDB	DB
MLBL	DB
GBBL	DB
JBBL	DB
KRBL	DB
CORBL	DB
KSBBL	DB
SADBL	DB
SHINE	DB
MNBBL	DB
SINDU	DB
GRDBL	DB
NBBD2085	Inv
SAPDBL	DB
SBD87	Inv
KSBBLD87	Inv
PBD85	Inv
SDBD87	DB
BFC	Inv
GFCL	Inv
PFL	Inv
MPFL	Inv
MFIL	Inv
GWFD83	Inv
NFS	F
GUFL	F
SIFC	F
CFCL	F
JFL	F
SFCL	F
GMFIL	F
ICFC	F
PROFL	F
RLFL	F
CBLD88	Inv
GBILD84/85	Inv
SHL	Inv
TRH	Inv
OHL	Inv
CGH	Hotel
KDL	Inv
CITY	Inv
NHPC	HP
BPCL	HP
CHCL	HP
AHPC	HP
SHPC	HP
RIDI	HP
BARUN	HP
API	HP
NGPL	HP
KKHC	HP
DHPL	HP
AKPL	HP
SPDL	HP
UMHL	HP
CHL	HP
HPPL	HP
NHDL	HP
RADHI	HP
PMHPL	HP
KPCL	HP
AKJCL	HP
JOSHI	HP
UPPER	HP
GHL	HP
UPCL	HP
MHNL	HP
PPCL	HP
HURJA	HP
UNHPL	HP
RHPL	HP
SJCL	HP
HDHPC	HP
LEC	HP
SSHL	HP
MEN	HP
UMRH	HP
GLH	HP
SHEL	HP
RURU	HP
CHDC	HP
MKJC	HP
SAHAS	HP
TPC	HP
SPC	HP
NYADI	HP
MBJC	HP
BNHC	HP
ENL	HP
GVL	HP
BHL	HP
RFPL	HP
DORDI	HP
BHDC	HP
HHL	HP
UHEWA	HP
SGHC	HP
MHL	HP
USHEC	HP
RHGCL	HP
HIDCLP	HP
SPHL	HP
PPL	HP
SIKLES	HP
EHPL	HP
PHCL	HP
BHPL	HP
SMHL	HP
SPL	HP
SMH	HP
MKHC	HP
AHL	HP
TAMOR	HP
MHCL	HP
SMJC	HP
MAKAR	HP
MKHL	HP
DOLTI	HP
BEDC	HP
MCHL	HP
IHL	HP
RAWA	HP
USHL	HP
TSHL	HP
KBSH	HP
MEHL	HP
ULHC	HP
MANDU	HP
BGWT	HP
MSHL	HP
MMKJL	HP
TVCL	HP
VLUCL	HP
CKHL	HP
CIT	Inv
HIDCL	Inv
NRN	Inv
HATHY	Inv
NLICL	LI
NLIC	LI
LICN	LI
ALICL	LI
HLI	LI
SJLIC	LI
NRIC	LI
ILI	LI
RNLI	LI
SNLI	LI
CLI	LI
HRL	LI
SRLI	Inv
BNL	MfP
BNT	MfP
UNL	MfP
HDL	MfP
SHIVM	MfP
NRM	MfP
GCIL	MfP
SONA	MfP
MKCL	MfP
NWCL	MfP
SARBTM	MfP
NUBL	MF
CBBL	MF
DDBL	MF
SWBBL	MF
NMLBBL	MF
FMDBL	MF
SLBBL	MF
SKBBL	MF
GBLBS	MF
KMCDB	MF
MLBBL	MF
LLBS	MF
VLBS	MF
HLBSL	MF
MATRI	MF
JSLBB	MF
NMBMF	MF
GILB	MF
SWMF	MF
MERO	MF
NMFBS	MF
RSDC	MF
FOWAD	MF
SMATA	MF
MSLB	MF
SMB	MF
USLB	MF
WNLB	MF
NADEP	MF
ACLBSL	MF
SLBSL	MF
ALBSL	MF
GMFBS	MF
GLBSL	MF
SMFBS	MF
ILBS	MF
NICLBSL	MF
SMPDA	MF
MLBSL	MF
JBLB	MF
SAMAJ	MF
NICD88	MF
MLBS	MF
NESDO	MF
ULBSL	MF
CYCL	MF
AVYAN	MF
DLBS	MF
SHLB	MF
UNLB	MF
ANLB	MF
RBCLPO	Inv
SEF	Inv
SAEF	Inv
NICGF	Inv
CMF1	Inv
NBF2	Inv
SIGS2	Inv
CMF2	Inv
NICBF	Inv
NMB50	Inv
SFMF	Inv
LUK	Inv
SLCF	Inv
KEF	Inv
SBCF	Inv
PSF	Inv
NIBSF2	Inv
NMBD87/88	Inv
NICSF	Inv
RMF1	Inv
GBILD86/87	Inv
MMF1	Inv
NBF3	Inv
NBLD85	Inv
NICFC	Inv
KDBY	Inv
PBD88	Inv
GIBF1	Inv
SBID83	Inv
NSIF2	Inv
NIBLGF	Inv
SAGF	Inv
SFEF	Inv
PRSF	Inv
RMF2	Inv
NMBD89/90	Inv
SIGS3	Inv
C30MF	Inv
LVF2	Inv
H8020	Inv
NICGF2	Inv
NABILD87	Inv
KSY	Inv
NIBLSTF	Inv
NICL	N-LI
RBCL	N-LI
HEI	N-LI
UAIL	N-LI
SPIL	N-LI
NIL	N-LI
PRIN	N-LI
SALICO	N-LI
IGI	N-LI
SICL	N-LI
NLG	N-LI
SGIC	N-LI
NTC	Inv
HEIP	Inv
NIMBPO	Inv
STC	Trd
BBC	Trd
